last_name,cnt
Zykh,148
Zyda,181
Zwicker,176
Zweizig,180
Zumaque,195
Zultner,177
Zucker,185
Zuberek,209
Zschoche,165
Zongker,192
Zolotykh,183
Zockler,173
Zobel,162
Zlotek,182
Zizka,180
Zirintsis,188
Zielinski,172
Zhiwei,177
Zhang,163
Zeleznik,177
Zeilberger,177
Zeidenstein,187
Zedlitz,163
Zaumen,199
Zastre,160
Zambonelli,151
Zallocco,198
Zaiane,172
Zaccaria,189
Yurov,179
Yurek,202
Yoshizawa,188
Yoshimura,169
Yeung,187
Yetto,169
Yetim,170
Yemenis,181
Yavatkar,169
Yamaashi,168
Xiaoshan,187
Wynblatt,201
Wuwongse,167
Wursthorn,193
Wroclawski,192
Wrigley,195
Woycyznski,192
Wossner,192
Worfolk,193
Wolniewicz,213
Wixon,169
Wissmann,175
Winter,180
Willoner,185
Wilharm,164
Wilfing,179
Wielonsky,160
Wiegley,167
Whittlesey,172
Whitcomb,204
Werthner,179
Wendorf,217
Welham,184
Weisert,197
Weiland,191
Wegerle,183
Weedon,184
Weedman,197
Waymire,188
Waterhouse,183
Waschkowski,181
Warwick,199
Walstra,186
Walston,185
Wallrath,168
Waleschkowski,163
Waeselynck,183
Vuskovic,182
Vural,175
Vrecion,172
Vitiello,180
Vingron,190
Vilarrasa,195
Vigier,198
Vieth,156
Vieri,172
Viele,197
Vidya,175
Vidal,175
Vickson,194
Vesna,175
Vesel,186
Verspoor,178
Versino,187
Vernadat,198
Verhoeff,170
Verhaegen,182
Ventosa,211
Vendrig,181
Veldwijk,174
Velasco,187
Velardi,163
Veevers,185
Veeraraghavan,183
Veccia,164
Vecchio,191
Vecchi,191
Vasanthakumar,183
Varman,182
Varley,181
Varker,174
Vanwelkenhuysen,187
VanScheik,162
Vandervoorde,177
Valtorta,185
Valiente,175
Validov,173
Valette,189
Vakili,180
Vadhan,159
Ushiama,182
Usery,184
Usdin,163
Unno,194
Unni,169
Undy,177
Underwood,190
Ulupinar,179
Uludag,182
Ullian,176
Uhrik,182
Uhrig,181
Uehara,189
Uchoa,177
Tzvieli,174
Tyugu,188
Turnbull,179
Tsunoo,175
Tsukune,180
Tsukuda,185
Trystram,191
Trumbly,177
Trogemann,179
Trelles,182
Tramer,203
Trachtenberg,181
Toyoshima,180
Tomescu,192
Tokunaga,172
Tischendorf,173
Tiemann,199
Tibblin,160
Thummel,202
Thorensen,177
Thorelli,152
Thombley,172
Thisen,169
Thiria,177
Thiran,191
Thimonier,192
Thibadeau,172
Theuretzbacher,168
Thebaut,193
Thambidurai,167
Tetzlaff,203
Terwilliger,156
Terlouw,183
Terkki,180
Terekhov,185
Templeman,177
Tempesti,161
Teitelbaum,166
Tchuente,188
Taubman,212
Taubenfeld,200
Tasistro,178
Tanemo,175
Taneja,201
Talmor,186
Talmon,182
Takkinen,186
Takanami,181
Tagansky,194
Szmurlo,184
Szilard,197
Szemeredi,181
Syrzycki,174
Syrotiuk,172
Syang,196
Swist,181
Swiss,190
Swiler,166
Swift,195
Swick,204
Swen,212
Swan,196
Swab,161
Suwa,165
Sury,164
Suri,190
Suppi,190
Suomi,197
Sundgren,193
Sullins,180
Suessmith,155
Suermann,182
Sudkamp,188
Sudbeck,222
Stroustrup,188
Strooper,178
Streng,179
Streit,168
Strehl,187
Stranks,166
Straney,183
Strandh,190
Stille,165
Stiles,159
Stifter,213
Stentiford,194
Stenning,183
Stemann,162
Stellhorn,180
Steinauer,179
Steenbeek,190
Staylopatis,190
Stavenow,183
Staudhammer,181
Stassinopoulos,193
Stasinski,183
Stanger,198
Stanfel,201
Standera,161
Stamatiou,184
Stafford,173
Staelin,170
Srimani,197
Sridhar,199
Spinelli,189
Spieker,182
Spelt,197
Spell,170
Speer,182
Speel,192
Speek,200
Speckmann,199
Spataro,181
Sooriamurthi,185
Sommer,176
Sommen,175
Soloway,164
Solovay,178
Solares,216
Soicher,202
Socorro,167
Snyers,179
Snedden,200
Smeets,181
Smailagic,189
Slutz,161
Sluis,170
Slobodova,199
Slaats,163
Skrikant,175
Skogmar,163
Skafidas,199
Siprelle,205
Siochi,189
Sinitsyn,178
Sinicrope,176
Simmen,192
Simmel,167
Simkin,196
Silva,186
Siksek,213
Sigstam,175
Sifakis,193
Siepmann,212
Siegrist,187
Sidou,191
Sidje,163
Sidhu,180
Sichman,196
Shumilov,200
Shrader,204
Showalter,174
Shokrollahi,179
Shobatake,170
Shiratori,204
Shinomoto,175
Shimshoni,205
Shihab,187
Shigei,153
Sherertz,180
Shanbhogue,194
Shackell,169
Shackel,189
Sgarro,200
Sewelson,178
Sevcikova,168
Seuren,178
Setlzner,182
Setiz,170
Setia,196
Sethi,186
Sessa,170
Servieres,199
Servi,196
Serre,193
Serra,209
Serov,156
Serot,171
Serna,195
Serdy,167
Senzako,192
Selvestrel,191
Selenyi,176
Seiwald,157
Segond,195
Seghrouchni,190
Schwartzburd,185
Schwartzbauer,151
Schwaller,194
Schwabacher,181
Schusler,201
Schurmann,175
Schueller,167
Schrooten,170
Schrift,159
Schreiter,200
Schonegge,174
Schoegge,174
Schnelling,165
Schneeberger,179
Schnabel,160
Schmittgen,181
Schmiedel,197
Schmezko,160
Schlumberger,184
Schlenzig,174
Schlegelmilch,202
Schiper,198
Schiettecatte,184
Schieder,185
Schicker,175
Schauser,174
Scharstein,189
Schapiro,181
Schapire,202
Schahn,176
Schaft,183
Schade,184
Schach,196
Schaar,194
Schaap,196
Schaaf,210
Schaad,194
Scallan,214
Savasere,181
Saoudi,176
Sankaranarayanan,183
Sanella,170
Sambasivam,174
Samarati,178
Salvesen,194
Salverda,190
Salinas,191
Sadowsky,145
Sadowski,196
Sabnani,152
Ruther,180
Rusterholz,201
Rusmann,173
Rullman,171
Ruemmler,177
Rubsam,174
Rousseau,189
Rouquie,201
Rothenberg,191
Rothe,183
Rotem,172
Rosti,155
Rossi,176
Rosis,193
Rosin,195
Rosiles,192
Rosenbaum,196
Rosen,186
Rosch,200
Rosca,184
Rosaz,214
Rosay,185
Rosar,150
Roohalamini,175
Roison,171
Roisin,191
Rohrbach,182
Rodite,183
Rodiger,179
Rodier,184
Rodham,187
Roccetti,179
Ritzmann,165
Ritcey,156
Rissland,188
Rissanen,180
Rindone,195
Rikino,195
Rijsenbrij,169
Rijckaert,186
Riexinger,204
Riesenhuber,190
Riefers,185
Reutenauer,188
Rettelbach,183
Restivo,178
Ressouche,188
Renear,182
Remmers,192
Remmele,194
Reistad,183
Reinhart,181
Reinhard,176
Rehfuss,162
Reghbati,185
Reeker,164
Reeken,190
Redmiles,210
Rebaine,178
Ravishankar,155
Ratzlaff,182
Rattan,166
Ratnaker,181
Ratnakar,186
Rathonyi,178
Rassart,199
Raoux,160
Ranze,173
Ranum,197
Ranta,197
Ranst,153
Ranon,181
Ranka,172
Range,173
Ranft,190
Raney,183
Randt,183
Rando,177
Randi,192
Rande,171
Ranai,185
Ramsey,178
Ramsay,203
Ramsak,167
Ramras,160
Ramamoorthy,179
Ramalingam,159
Ramaiah,190
Rajcani,212
Rajaraman,197
Rajala,192
Rahimi,189
Rahier,185
Radwan,178
Radivojevic,200
Radhakrishnan,193
Raczkowsky,182
Rabejac,171
Rabehasaina,212
Quittner,181
Quaggetto,173
Quadeer,196
Qiwen,168
Pusterhofer,191
Puppo,188
Puppe,179
Puoti,168
Pulkowski,186
Przulj,189
Provine,151
Prochazka,180
Preusig,187
Prenel,179
Prampolini,153
Pramanik,212
Pouyioutas,177
Poupard,198
Poulakidas,186
Poujol,182
Potthoff,174
Portugali,172
Porotnikoff,164
Porenta,175
Ponthieu,205
Polupanov,156
Pollock,183
Pollacia,185
Polajnar,170
Pokrovskii,214
Poehlman,182
Pocchiola,200
Pluym,163
Plump,189
Plumb,165
Plotkin,171
Pleszkun,176
Plesums,191
Plessier,191
Plavsic,185
Piveteau,198
Pintelas,174
Pillow,165
Pileggi,166
